# ra dec snr
2.404593453727497092e+02 -5.295359042243494230e+01 7.210485113079632136e+00
2.404593453727497092e+02 -5.295359042243494230e+01 7.210485113079632136e+00
2.404593453727497092e+02 -5.295359042243494230e+01 7.210485113079632136e+00
2.404593453727497092e+02 -5.295359042243494230e+01 7.210485113079632136e+00
2.588408365775601396e+02 -3.850791519580321420e+01 3.809828675927487041e+01
2.588408365775601396e+02 -3.850791519580321420e+01 3.809828675927487041e+01
2.588408365775601396e+02 -3.850791519580321420e+01 3.809828675927487041e+01
2.588408365775601396e+02 -3.850791519580321420e+01 3.809828675927487041e+01
2.588408365775601396e+02 -3.850791519580321420e+01 3.809828675927487041e+01
8.442360699592326512e+01 -6.896607731545610420e+01 8.772126052268466978e+00
8.442360699592326512e+01 -6.896607731545610420e+01 8.772126052268466978e+00
8.442360699592326512e+01 -6.896607731545610420e+01 8.772126052268466978e+00
8.442360699592326512e+01 -6.896607731545610420e+01 8.772126052268466978e+00
8.442360699592326512e+01 -6.896607731545610420e+01 8.772126052268466978e+00
7.313855139212796530e+01 -6.891670178432134719e+01 4.319424931355178465e+00
7.313855139212796530e+01 -6.891670178432134719e+01 4.319424931355178465e+00
7.313855139212796530e+01 -6.891670178432134719e+01 4.319424931355178465e+00
7.313855139212796530e+01 -6.891670178432134719e+01 4.319424931355178465e+00
7.313855139212796530e+01 -6.891670178432134719e+01 4.319424931355178465e+00
7.236031780684197656e+01 -7.029752965237588569e+01 2.349940328641802800e+00
7.236031780684197656e+01 -7.029752965237588569e+01 2.349940328641802800e+00
7.236031780684197656e+01 -7.029752965237588569e+01 2.349940328641802800e+00
7.236031780684197656e+01 -7.029752965237588569e+01 2.349940328641802800e+00
7.236031780684197656e+01 -7.029752965237588569e+01 2.349940328641802800e+00
2.566371992821916592e+02 -3.878068922900030202e+01 1.495461799798678193e+01
2.566371992821916592e+02 -3.878068922900030202e+01 1.495461799798678193e+01
2.566371992821916592e+02 -3.878068922900030202e+01 1.495461799798678193e+01
2.566371992821916592e+02 -3.878068922900030202e+01 1.495461799798678193e+01
2.566371992821916592e+02 -3.878068922900030202e+01 1.495461799798678193e+01
2.757015537647752694e+02 -1.032078416988507641e+01 1.133085678151089155e+02
2.757015537647752694e+02 -1.032078416988507641e+01 1.133085678151089155e+02
2.757015537647752694e+02 -1.032078416988507641e+01 1.133085678151089155e+02
2.757015537647752694e+02 -1.032078416988507641e+01 1.133085678151089155e+02
2.757015537647752694e+02 -1.032078416988507641e+01 1.133085678151089155e+02
2.739693722899430668e+02 -1.597956275018093564e+01 7.658927205436370400e+00
2.739693722899430668e+02 -1.597956275018093564e+01 7.658927205436370400e+00
2.739693722899430668e+02 -1.597956275018093564e+01 7.658927205436370400e+00
2.739693722899430668e+02 -1.597956275018093564e+01 7.658927205436370400e+00
2.739693722899430668e+02 -1.597956275018093564e+01 7.658927205436370400e+00
2.934007030748433635e+02 1.681031408323925902e+01 5.902737294519958766e+01
2.934007030748433635e+02 1.681031408323925902e+01 5.902737294519958766e+01
2.934007030748433635e+02 1.681031408323925902e+01 5.902737294519958766e+01
2.934007030748433635e+02 1.681031408323925902e+01 5.902737294519958766e+01
2.934007030748433635e+02 1.681031408323925902e+01 5.902737294519958766e+01
7.500111846605319954e+01 -6.829001003716929574e+01 2.173531399773494854e+00
7.500111846605319954e+01 -6.829001003716929574e+01 2.173531399773494854e+00
7.500111846605319954e+01 -6.829001003716929574e+01 2.173531399773494854e+00
7.500111846605319954e+01 -6.829001003716929574e+01 2.173531399773494854e+00
7.500111846605319954e+01 -6.829001003716929574e+01 2.173531399773494854e+00
2.993660341254993682e+02 2.583022608734382786e+01 2.605432823986694189e+02
2.993660341254993682e+02 2.583022608734382786e+01 2.605432823986694189e+02
2.993660341254993682e+02 2.583022608734382786e+01 2.605432823986694189e+02
2.993660341254993682e+02 2.583022608734382786e+01 2.605432823986694189e+02
2.993660341254993682e+02 2.583022608734382786e+01 2.605432823986694189e+02
1.893970129540788037e+02 -6.201622568107109856e+01 1.048431257001887396e+01
1.893970129540788037e+02 -6.201622568107109856e+01 1.048431257001887396e+01
1.893970129540788037e+02 -6.201622568107109856e+01 1.048431257001887396e+01
1.893970129540788037e+02 -6.201622568107109856e+01 1.048431257001887396e+01
1.893970129540788037e+02 -6.201622568107109856e+01 1.048431257001887396e+01
2.755877004049132211e+02 -1.384331706113602856e+01 4.598550557637639713e+01
2.755877004049132211e+02 -1.384331706113602856e+01 4.598550557637639713e+01
2.755877004049132211e+02 -1.384331706113602856e+01 4.598550557637639713e+01
2.755877004049132211e+02 -1.384331706113602856e+01 4.598550557637639713e+01
2.755877004049132211e+02 -1.384331706113602856e+01 4.598550557637639713e+01
8.425091430867524878e+01 -7.144431421475549371e+01 9.978405959846449846e+00
8.425091430867524878e+01 -7.144431421475549371e+01 9.978405959846449846e+00
8.425091430867524878e+01 -7.144431421475549371e+01 9.978405959846449846e+00
8.425091430867524878e+01 -7.144431421475549371e+01 9.978405959846449846e+00
8.425091430867524878e+01 -7.144431421475549371e+01 9.978405959846449846e+00
2.933599582442875544e+02 1.989427587292016142e+01 5.496884868788557554e+01
2.933599582442875544e+02 1.989427587292016142e+01 5.496884868788557554e+01
2.933599582442875544e+02 1.989427587292016142e+01 5.496884868788557554e+01
2.933599582442875544e+02 1.989427587292016142e+01 5.496884868788557554e+01
2.933599582442875544e+02 1.989427587292016142e+01 5.496884868788557554e+01
2.712918502687369369e+02 -2.006215006259918709e+01 2.232193449522416699e+02
2.712918502687369369e+02 -2.006215006259918709e+01 2.232193449522416699e+02
2.712918502687369369e+02 -2.006215006259918709e+01 2.232193449522416699e+02
2.712918502687369369e+02 -2.006215006259918709e+01 2.232193449522416699e+02
2.712918502687369369e+02 -2.006215006259918709e+01 2.232193449522416699e+02
7.590576421571857679e+01 -6.688105296342139638e+01 2.101814970412600303e+01
7.590576421571857679e+01 -6.688105296342139638e+01 2.101814970412600303e+01
7.590576421571857679e+01 -6.688105296342139638e+01 2.101814970412600303e+01
7.590576421571857679e+01 -6.688105296342139638e+01 2.101814970412600303e+01
7.590576421571857679e+01 -6.688105296342139638e+01 2.101814970412600303e+01
2.608089507221669123e+02 -3.600988647424736655e+01 1.024882693602523531e+01
2.608089507221669123e+02 -3.600988647424736655e+01 1.024882693602523531e+01
2.608089507221669123e+02 -3.600988647424736655e+01 1.024882693602523531e+01
2.608089507221669123e+02 -3.600988647424736655e+01 1.024882693602523531e+01
2.608089507221669123e+02 -3.600988647424736655e+01 1.024882693602523531e+01
7.304613810607018820e+01 -7.059364857954014383e+01 1.343474227823613276e+01
7.304613810607018820e+01 -7.059364857954014383e+01 1.343474227823613276e+01
7.304613810607018820e+01 -7.059364857954014383e+01 1.343474227823613276e+01
7.304613810607018820e+01 -7.059364857954014383e+01 1.343474227823613276e+01
7.304613810607018820e+01 -7.059364857954014383e+01 1.343474227823613276e+01
2.465262453729588970e+02 -4.793455192373639306e+01 2.467539190670699156e+01
2.465262453729588970e+02 -4.793455192373639306e+01 2.467539190670699156e+01
2.465262453729588970e+02 -4.793455192373639306e+01 2.467539190670699156e+01
2.465262453729588970e+02 -4.793455192373639306e+01 2.467539190670699156e+01
2.465262453729588970e+02 -4.793455192373639306e+01 2.467539190670699156e+01
7.833062914419464562e+01 -6.800513189967963967e+01 1.204331806833691942e+01
7.833062914419464562e+01 -6.800513189967963967e+01 1.204331806833691942e+01
7.833062914419464562e+01 -6.800513189967963967e+01 1.204331806833691942e+01
7.833062914419464562e+01 -6.800513189967963967e+01 1.204331806833691942e+01
7.833062914419464562e+01 -6.800513189967963967e+01 1.204331806833691942e+01
2.847607331541231019e+02 2.956927473533184969e+00 1.479128385995270278e+01
2.847607331541231019e+02 2.956927473533184969e+00 1.479128385995270278e+01
2.847607331541231019e+02 2.956927473533184969e+00 1.479128385995270278e+01
2.847607331541231019e+02 2.956927473533184969e+00 1.479128385995270278e+01
2.847607331541231019e+02 2.956927473533184969e+00 1.479128385995270278e+01
8.628696798132271795e+01 -6.648863619230324673e+01 2.068006617617721865e+00
8.628696798132271795e+01 -6.648863619230324673e+01 2.068006617617721865e+00
8.628696798132271795e+01 -6.648863619230324673e+01 2.068006617617721865e+00
8.628696798132271795e+01 -6.648863619230324673e+01 2.068006617617721865e+00
8.628696798132271795e+01 -6.648863619230324673e+01 2.068006617617721865e+00
8.488480209624457018e+01 -6.961521720324302009e+01 2.308676034173708036e+00
8.488480209624457018e+01 -6.961521720324302009e+01 2.308676034173708036e+00
8.488480209624457018e+01 -6.961521720324302009e+01 2.308676034173708036e+00
8.488480209624457018e+01 -6.961521720324302009e+01 2.308676034173708036e+00
8.488480209624457018e+01 -6.961521720324302009e+01 2.308676034173708036e+00
7.206130259521002301e+01 -6.919454160059822811e+01 3.564076035066312098e+00
7.206130259521002301e+01 -6.919454160059822811e+01 3.564076035066312098e+00
7.206130259521002301e+01 -6.919454160059822811e+01 3.564076035066312098e+00
7.206130259521002301e+01 -6.919454160059822811e+01 3.564076035066312098e+00
7.206130259521002301e+01 -6.919454160059822811e+01 3.564076035066312098e+00
2.605387704827361404e+02 -3.751643959665899075e+01 6.182244872340801578e+01
2.605387704827361404e+02 -3.751643959665899075e+01 6.182244872340801578e+01
2.605387704827361404e+02 -3.751643959665899075e+01 6.182244872340801578e+01
2.605387704827361404e+02 -3.751643959665899075e+01 6.182244872340801578e+01
2.605387704827361404e+02 -3.751643959665899075e+01 6.182244872340801578e+01
2.574628832520814967e+02 -3.969061302127102664e+01 9.072899807638929559e+00
2.574628832520814967e+02 -3.969061302127102664e+01 9.072899807638929559e+00
2.574628832520814967e+02 -3.969061302127102664e+01 9.072899807638929559e+00
2.574628832520814967e+02 -3.969061302127102664e+01 9.072899807638929559e+00
2.574628832520814967e+02 -3.969061302127102664e+01 9.072899807638929559e+00
2.891414186273964333e+02 9.773664050814199200e+00 1.719904564470437691e+01
2.891414186273964333e+02 9.773664050814199200e+00 1.719904564470437691e+01
2.891414186273964333e+02 9.773664050814199200e+00 1.719904564470437691e+01
2.891414186273964333e+02 9.773664050814199200e+00 1.719904564470437691e+01
2.891414186273964333e+02 9.773664050814199200e+00 1.719904564470437691e+01
2.438372841081477702e+02 -5.193254762583480044e+01 3.159882953636266834e+01
2.438372841081477702e+02 -5.193254762583480044e+01 3.159882953636266834e+01
2.438372841081477702e+02 -5.193254762583480044e+01 3.159882953636266834e+01
2.438372841081477702e+02 -5.193254762583480044e+01 3.159882953636266834e+01
2.438372841081477702e+02 -5.193254762583480044e+01 3.159882953636266834e+01
1.342553874982445734e+02 -4.547797259085345445e+01 3.234632054970486337e+01
1.342553874982445734e+02 -4.547797259085345445e+01 3.234632054970486337e+01
1.342553874982445734e+02 -4.547797259085345445e+01 3.234632054970486337e+01
1.342553874982445734e+02 -4.547797259085345445e+01 3.234632054970486337e+01
1.342553874982445734e+02 -4.547797259085345445e+01 3.234632054970486337e+01
1.302091730881985399e+01 -7.242747482416798732e+01 9.287205526543997891e+00
1.302091730881985399e+01 -7.242747482416798732e+01 9.287205526543997891e+00
1.302091730881985399e+01 -7.242747482416798732e+01 9.287205526543997891e+00
1.302091730881985399e+01 -7.242747482416798732e+01 9.287205526543997891e+00
1.302091730881985399e+01 -7.242747482416798732e+01 9.287205526543997891e+00
1.165208961900174955e+01 -7.309690293230889324e+01 1.027517610429360673e+01
1.165208961900174955e+01 -7.309690293230889324e+01 1.027517610429360673e+01
1.165208961900174955e+01 -7.309690293230889324e+01 1.027517610429360673e+01
1.165208961900174955e+01 -7.309690293230889324e+01 1.027517610429360673e+01
1.165208961900174955e+01 -7.309690293230889324e+01 1.027517610429360673e+01
2.241105782908896913e+02 -5.931715660628794495e+01 2.703359501150900002e+01
2.241105782908896913e+02 -5.931715660628794495e+01 2.703359501150900002e+01
2.241105782908896913e+02 -5.931715660628794495e+01 2.703359501150900002e+01
2.241105782908896913e+02 -5.931715660628794495e+01 2.703359501150900002e+01
2.241105782908896913e+02 -5.931715660628794495e+01 2.703359501150900002e+01
7.484525582065113269e+01 -6.660310846049956979e+01 4.401424742912429799e+00
7.484525582065113269e+01 -6.660310846049956979e+01 4.401424742912429799e+00
7.484525582065113269e+01 -6.660310846049956979e+01 4.401424742912429799e+00
7.484525582065113269e+01 -6.660310846049956979e+01 4.401424742912429799e+00
7.484525582065113269e+01 -6.660310846049956979e+01 4.401424742912429799e+00
7.414961141493917296e+01 -6.790985855485759259e+01 3.573821181656716917e+00
7.414961141493917296e+01 -6.790985855485759259e+01 3.573821181656716917e+00
7.414961141493917296e+01 -6.790985855485759259e+01 3.573821181656716917e+00
7.414961141493917296e+01 -6.790985855485759259e+01 3.573821181656716917e+00
7.414961141493917296e+01 -6.790985855485759259e+01 3.573821181656716917e+00
1.740632104835316056e+02 -6.354242478431989838e+01 1.591790980901612684e+01
1.740632104835316056e+02 -6.354242478431989838e+01 1.591790980901612684e+01
1.740632104835316056e+02 -6.354242478431989838e+01 1.591790980901612684e+01
1.740632104835316056e+02 -6.354242478431989838e+01 1.591790980901612684e+01
1.740632104835316056e+02 -6.354242478431989838e+01 1.591790980901612684e+01
2.364233605477056130e+02 -5.268921854227835411e+01 8.684852992995809018e+01
2.364233605477056130e+02 -5.268921854227835411e+01 8.684852992995809018e+01
2.364233605477056130e+02 -5.268921854227835411e+01 8.684852992995809018e+01
2.364233605477056130e+02 -5.268921854227835411e+01 8.684852992995809018e+01
2.364233605477056130e+02 -5.268921854227835411e+01 8.684852992995809018e+01
2.802505484566023028e+02 -6.246970338118233101e+00 4.040443004112616876e+01
2.802505484566023028e+02 -6.246970338118233101e+00 4.040443004112616876e+01
2.802505484566023028e+02 -6.246970338118233101e+00 4.040443004112616876e+01
2.802505484566023028e+02 -6.246970338118233101e+00 4.040443004112616876e+01
2.802505484566023028e+02 -6.246970338118233101e+00 4.040443004112616876e+01
2.515731248759232983e+02 -4.564191151235053212e+01 5.229757093146928781e+01
2.515731248759232983e+02 -4.564191151235053212e+01 5.229757093146928781e+01
2.515731248759232983e+02 -4.564191151235053212e+01 5.229757093146928781e+01
2.515731248759232983e+02 -4.564191151235053212e+01 5.229757093146928781e+01
2.515731248759232983e+02 -4.564191151235053212e+01 5.229757093146928781e+01
8.130956331898282485e+01 -6.927923724134583949e+01 3.802192548043894060e+00
8.130956331898282485e+01 -6.927923724134583949e+01 3.802192548043894060e+00
8.130956331898282485e+01 -6.927923724134583949e+01 3.802192548043894060e+00
8.130956331898282485e+01 -6.927923724134583949e+01 3.802192548043894060e+00
8.130956331898282485e+01 -6.927923724134583949e+01 3.802192548043894060e+00
2.662706378735534258e+02 -2.755954865073200821e+01 1.935391234239456537e+01
2.662706378735534258e+02 -2.755954865073200821e+01 1.935391234239456537e+01
2.662706378735534258e+02 -2.755954865073200821e+01 1.935391234239456537e+01
2.662706378735534258e+02 -2.755954865073200821e+01 1.935391234239456537e+01
2.662706378735534258e+02 -2.755954865073200821e+01 1.935391234239456537e+01
2.380375746208119949e+02 -5.016877484079570593e+01 4.222338982238670724e+01
2.380375746208119949e+02 -5.016877484079570593e+01 4.222338982238670724e+01
2.380375746208119949e+02 -5.016877484079570593e+01 4.222338982238670724e+01
2.380375746208119949e+02 -5.016877484079570593e+01 4.222338982238670724e+01
2.380375746208119949e+02 -5.016877484079570593e+01 4.222338982238670724e+01
7.705298666556467424e+01 -7.091643163304608777e+01 3.389287828550282988e+00
7.705298666556467424e+01 -7.091643163304608777e+01 3.389287828550282988e+00
7.705298666556467424e+01 -7.091643163304608777e+01 3.389287828550282988e+00
7.705298666556467424e+01 -7.091643163304608777e+01 3.389287828550282988e+00
7.705298666556467424e+01 -7.091643163304608777e+01 3.389287828550282988e+00
2.733899382117068626e+02 -1.518747586489825174e+01 1.617965090056856781e+01
2.733899382117068626e+02 -1.518747586489825174e+01 1.617965090056856781e+01
2.733899382117068626e+02 -1.518747586489825174e+01 1.617965090056856781e+01
2.733899382117068626e+02 -1.518747586489825174e+01 1.617965090056856781e+01
2.733899382117068626e+02 -1.518747586489825174e+01 1.617965090056856781e+01
2.705839802670992071e+02 -2.694367358932210976e+01 4.187597939642170530e+01
2.705839802670992071e+02 -2.694367358932210976e+01 4.187597939642170530e+01
2.705839802670992071e+02 -2.694367358932210976e+01 4.187597939642170530e+01
2.705839802670992071e+02 -2.694367358932210976e+01 4.187597939642170530e+01
2.705839802670992071e+02 -2.694367358932210976e+01 4.187597939642170530e+01
2.268717903919836658e+02 -5.819535503637543883e+01 3.772107945035951104e+01
2.268717903919836658e+02 -5.819535503637543883e+01 3.772107945035951104e+01
2.268717903919836658e+02 -5.819535503637543883e+01 3.772107945035951104e+01
2.268717903919836658e+02 -5.819535503637543883e+01 3.772107945035951104e+01
2.268717903919836658e+02 -5.819535503637543883e+01 3.772107945035951104e+01
8.469323096836545517e+01 -6.893234242508360410e+01 2.274085216653952202e+01
8.469323096836545517e+01 -6.893234242508360410e+01 2.274085216653952202e+01
8.469323096836545517e+01 -6.893234242508360410e+01 2.274085216653952202e+01
8.469323096836545517e+01 -6.893234242508360410e+01 2.274085216653952202e+01
8.469323096836545517e+01 -6.893234242508360410e+01 2.274085216653952202e+01
7.734683765620974150e+00 -7.369891018974873020e+01 7.646460738915024535e+00
7.734683765620974150e+00 -7.369891018974873020e+01 7.646460738915024535e+00
7.734683765620974150e+00 -7.369891018974873020e+01 7.646460738915024535e+00
7.734683765620974150e+00 -7.369891018974873020e+01 7.646460738915024535e+00
7.734683765620974150e+00 -7.369891018974873020e+01 7.646460738915024535e+00
7.928010554705114998e+01 -6.845839996018605689e+01 5.180089769575916492e+00
7.928010554705114998e+01 -6.845839996018605689e+01 5.180089769575916492e+00
7.928010554705114998e+01 -6.845839996018605689e+01 5.180089769575916492e+00
7.928010554705114998e+01 -6.845839996018605689e+01 5.180089769575916492e+00
